Old,New
"E.g. FTICR, Orbitrap",Other
Synapt,QTOF
Orbitrap Exploris 480,Orbitrap
FTICR,FTICR
Q-Exactive-Orbitrap-HF,Orbitrap
QTOF,QTOF
Xevo G2-XS,QTOF
Orbitrap XL,Orbitrap
FTMS,Other
TOF,TOF
UHMR,Other
Synapt G2-S MS,QTOF
QExactive plus,Orbitrap
N/A,Other
Orbitrap,Orbitrap
Synapt XS,QTOF
None,Other
7 T FTICR,FTICR
15 T FTICR,FTICR
12T FTICR,FTICR
12 T FTICR,FTICR
FTICR scimaX 7T,FTICR
TOF reflector,TOF
Q-Exactive-Orbitrap,Orbitrap
timsTOF Flex,timsTOF
FTICR 12T,FTICR
FT-ICR,FTICR
