Old,New
kidney,Kidney
leaf,Leaf
N/A,Other
None,Other
root,Root
Skin,Skin
Kidney | Muscle,Multiple
lung,Lung
liver,Liver
brain,Brain
Root Tip,Root
Kideny,Kidney
