"SUID","Cooccurrence","Coregulation","CoregulationBin","interaction","name","NetworkPresence","NewBin","NewBin2","selected","shared interaction","shared name"
"208211","0.79883956978486","0.64","33","(interacts)","PE_ae_C36:5 ((interacts)) PC_aa_C32:2",,"1","1","false","(interacts)","PE_ae_C36:5 ((interacts)) PC_aa_C32:2"
"213125","0.864196618398","0.64","33","(interacts)","PC_aa_C38:3 ((interacts)) PC_aa_C34:0",,"1","1","false","(interacts)","PC_aa_C38:3 ((interacts)) PC_aa_C34:0"
"207963","0.840853214264","0.64","33","(interacts)","PC_aa_C38:2 ((interacts)) PC_aa_C34:0",,"1","1","false","(interacts)","PC_aa_C38:2 ((interacts)) PC_aa_C34:0"
"196192","0.893904586632917","0.64","33","(interacts)","PC_aa_C36:1 ((interacts)) PC_aa_C34:2",,"1","1","false","(interacts)","PC_aa_C36:1 ((interacts)) PC_aa_C34:2"
"194977","0.42039609588668","0.61","33","(interacts)","N-C24:0-Cer(2H) ((interacts)) PC_aa_C34:1",,"1","1","false","(interacts)","N-C24:0-Cer(2H) ((interacts)) PC_aa_C34:1"
"195197",,"0.63","33","(interacts)","SM_C26:4 ((interacts)) PC_aa_C34:2",,"1","1","false","(interacts)","SM_C26:4 ((interacts)) PC_aa_C34:2"
"194740",,"0.65","33","(interacts)","SM_C24:3 ((interacts)) PC_aa_C34:2",,"1","1","false","(interacts)","SM_C24:3 ((interacts)) PC_aa_C34:2"
"212718","0.798870054001954","0.63","33","(interacts)","PC_aa_C38:6 ((interacts)) PC_aa_C34:1",,"1","1","false","(interacts)","PC_aa_C38:6 ((interacts)) PC_aa_C34:1"
"204254","0.781705041726667","0.62","33","(interacts)","PC_ae_C38:5 ((interacts)) PC_aa_C34:0",,"1","1","false","(interacts)","PC_ae_C38:5 ((interacts)) PC_aa_C34:0"
"193037",,"0.63","33","(interacts)","SM_C24:4 ((interacts)) PC_aa_C34:1",,"1","1","false","(interacts)","SM_C24:4 ((interacts)) PC_aa_C34:1"
"195378","0.471889336903667","0.62","33","(interacts)","PC_ae_C36:1 ((interacts)) PC_aa_C34:1",,"1","1","false","(interacts)","PC_ae_C36:1 ((interacts)) PC_aa_C34:1"
"194458",,"0.62","33","(interacts)","PE_aa_C36:0 ((interacts)) PC_aa_C36:0",,"1","1","false","(interacts)","PE_aa_C36:0 ((interacts)) PC_aa_C36:0"
"204253","0.310099482536","0.63","33","(interacts)","PC_ae_C38:5 ((interacts)) PC_aa_C36:0",,"1","1","false","(interacts)","PC_ae_C38:5 ((interacts)) PC_aa_C36:0"
"198596",,"0.61","33","(interacts)","N-C10:0-Cer(2H) ((interacts)) PC_aa_C36:0",,"1","1","false","(interacts)","N-C10:0-Cer(2H) ((interacts)) PC_aa_C36:0"
"205628",,"0.61","33","(interacts)","PG_ae_C34:1 ((interacts)) PC_aa_C36:0",,"1","1","false","(interacts)","PG_ae_C34:1 ((interacts)) PC_aa_C36:0"
"193036",,"0.61","33","(interacts)","SM_C24:4 ((interacts)) PC_aa_C34:3",,"1","1","false","(interacts)","SM_C24:4 ((interacts)) PC_aa_C34:3"
"213124","0.84303443630525","0.63","33","(interacts)","PC_aa_C38:3 ((interacts)) PC_aa_C34:3",,"1","1","false","(interacts)","PC_aa_C38:3 ((interacts)) PC_aa_C34:3"
"206773","0.36443182826","0.65","33","(interacts)","PC_aa_C40:7 ((interacts)) PC_aa_C36:0",,"1","1","false","(interacts)","PC_aa_C40:7 ((interacts)) PC_aa_C36:0"
"206802","0.372348040342","0.62","33","(interacts)","PC_aa_C40:6 ((interacts)) PC_aa_C36:0",,"1","1","false","(interacts)","PC_aa_C40:6 ((interacts)) PC_aa_C36:0"
"194739",,"0.64","33","(interacts)","SM_C24:3 ((interacts)) PC_aa_C36:2",,"1","1","false","(interacts)","SM_C24:3 ((interacts)) PC_aa_C36:2"
"212405","0.733534089156714","0.62","33","(interacts)","PC_ae_C36:2 ((interacts)) PC_aa_C36:1",,"1","1","false","(interacts)","PC_ae_C36:2 ((interacts)) PC_aa_C36:1"
"199587","0.825398190454818","0.61","33","(interacts)","PC_aa_C40:4 ((interacts)) PC_aa_C36:3",,"1","1","false","(interacts)","PC_aa_C40:4 ((interacts)) PC_aa_C36:3"
"195196",,"0.63","33","(interacts)","SM_C26:4 ((interacts)) PC_aa_C36:2",,"1","1","false","(interacts)","SM_C26:4 ((interacts)) PC_aa_C36:2"
"197826",,"0.61","33","(interacts)","N-C20:0(OH)-Cer(2H) ((interacts)) PC_aa_C36:0",,"1","1","false","(interacts)","N-C20:0(OH)-Cer(2H) ((interacts)) PC_aa_C36:0"
"198975",,"0.63","33","(interacts)","N-C18:0(OH)-Cer(2H) ((interacts)) PC_aa_C36:0",,"1","1","false","(interacts)","N-C18:0(OH)-Cer(2H) ((interacts)) PC_aa_C36:0"
"213287","0.94079980254175","0.64","33","(interacts)","PC_aa_C36:2 ((interacts)) PC_aa_C36:1",,"1","1","false","(interacts)","PC_aa_C36:2 ((interacts)) PC_aa_C36:1"
"193813",,"0.64","33","(interacts)","N-C8:0(OH)-Cer ((interacts)) PC_aa_C36:0",,"1","1","false","(interacts)","N-C8:0(OH)-Cer ((interacts)) PC_aa_C36:0"
"212440","0.7991201996804","0.61","33","(interacts)","PC_ae_C34:2 ((interacts)) PC_aa_C36:4",,"1","1","false","(interacts)","PC_ae_C34:2 ((interacts)) PC_aa_C36:4"
"206348","0.7491224691271","0.61","33","(interacts)","PC_ae_C32:1 ((interacts)) PC_aa_C36:4",,"1","1","false","(interacts)","PC_ae_C32:1 ((interacts)) PC_aa_C36:4"
"207171","0.723940188685944","0.63","33","(interacts)","PC_aa_C38:4 ((interacts)) PC_aa_C36:5",,"1","1","false","(interacts)","PC_aa_C38:4 ((interacts)) PC_aa_C36:5"
"195377","0.457280824581667","0.61","33","(interacts)","PC_ae_C36:1 ((interacts)) PC_aa_C36:4",,"1","1","false","(interacts)","PC_ae_C36:1 ((interacts)) PC_aa_C36:4"
"204690","0.369858160615","0.62","33","(interacts)","PC_ae_C38:2 ((interacts)) PC_aa_C36:3",,"1","1","false","(interacts)","PC_ae_C38:2 ((interacts)) PC_aa_C36:3"
