"SUID","canonicalName","interaction","interactionStrength","name","selected","shared interaction","shared name"
"336","N-C20:1-Cer(2H) (interacts) N-C26:0-Cer","interacts","0.71","N-C20:1-Cer(2H) (interacts) N-C26:0-Cer","false","interacts","N-C20:1-Cer(2H) (interacts) N-C26:0-Cer"
"337","N-C20:1-Cer(2H) (interacts) N-C28:0-Cer","interacts","0.89","N-C20:1-Cer(2H) (interacts) N-C28:0-Cer","false","interacts","N-C20:1-Cer(2H) (interacts) N-C28:0-Cer"
"338","N-C20:1-Cer(2H) (interacts) N-C28:1-Cer(2H)","interacts","0.78","N-C20:1-Cer(2H) (interacts) N-C28:1-Cer(2H)","false","interacts","N-C20:1-Cer(2H) (interacts) N-C28:1-Cer(2H)"
"339","PE_ae_C42:2 (interacts) PE_ae_C46:5","interacts","0.98","PE_ae_C42:2 (interacts) PE_ae_C46:5","false","interacts","PE_ae_C42:2 (interacts) PE_ae_C46:5"
"340","PE_ae_C42:2 (interacts) PE_ae_C46:6","interacts","0.99","PE_ae_C42:2 (interacts) PE_ae_C46:6","false","interacts","PE_ae_C42:2 (interacts) PE_ae_C46:6"
"341","PE_ae_C42:2 (interacts) PS_aa_C36:0","interacts","0.72","PE_ae_C42:2 (interacts) PS_aa_C36:0","false","interacts","PE_ae_C42:2 (interacts) PS_aa_C36:0"
"342","PE_ae_C42:2 (interacts) PS_aa_C42:2","interacts","0.73","PE_ae_C42:2 (interacts) PS_aa_C42:2","false","interacts","PE_ae_C42:2 (interacts) PS_aa_C42:2"
"343","PE_ae_C42:2 (interacts) PS_aa_C42:4","interacts","0.89","PE_ae_C42:2 (interacts) PS_aa_C42:4","false","interacts","PE_ae_C42:2 (interacts) PS_aa_C42:4"
"344","PE_ae_C42:2 (interacts) N-C10:0(OH)-Cer(2H)","interacts","0.74","PE_ae_C42:2 (interacts) N-C10:0(OH)-Cer(2H)","false","interacts","PE_ae_C42:2 (interacts) N-C10:0(OH)-Cer(2H)"
"345","PE_ae_C42:2 (interacts) N-C10:1-Cer","interacts","0.77","PE_ae_C42:2 (interacts) N-C10:1-Cer","false","interacts","PE_ae_C42:2 (interacts) N-C10:1-Cer"
"346","PE_ae_C42:2 (interacts) N-C12:1-Cer","interacts","0.77","PE_ae_C42:2 (interacts) N-C12:1-Cer","false","interacts","PE_ae_C42:2 (interacts) N-C12:1-Cer"
