"SUID","canonicalName","Cooccurrence","Coregulation","CoregulationBin","interaction","interactionStrength","name","NetworkPresence","NewBin","NewBin2","selected","shared interaction","shared name"
"199855","","0.713021323084875","0.6","","(interacts)",,"SM_C22:0 ((interacts)) PC_ae_C32:1",,"","","false","(interacts)","SM_C22:0 ((interacts)) PC_ae_C32:1"
"199856","","0.730422603733353","0.69","","(interacts)",,"SM_C22:0 ((interacts)) PE_aa_C36:2",,"","","false","(interacts)","SM_C22:0 ((interacts)) PE_aa_C36:2"
"199857","","0.629190241297333","0.7","","(interacts)",,"SM_C22:0 ((interacts)) PE_aa_C34:3",,"","","false","(interacts)","SM_C22:0 ((interacts)) PE_aa_C34:3"
"199858","","0.65487122039","0.69","","(interacts)",,"SM_C22:0 ((interacts)) PE_ae_C36:2",,"","","false","(interacts)","SM_C22:0 ((interacts)) PE_ae_C36:2"
"199859","","0.640236629173083","0.7","","(interacts)",,"SM_C22:0 ((interacts)) PE_ae_C34:2",,"","","false","(interacts)","SM_C22:0 ((interacts)) PE_ae_C34:2"
"199860","","0.768435945113333","0.63","","(interacts)",,"SM_C22:0 ((interacts)) PS_aa_C34:2",,"","","false","(interacts)","SM_C22:0 ((interacts)) PS_aa_C34:2"
"199861","","0.726618535378294","0.65","","(interacts)",,"SM_C22:0 ((interacts)) PE_ae_C38:5",,"","","false","(interacts)","SM_C22:0 ((interacts)) PE_ae_C38:5"
"199862","","0.49941781908275","0.63","","(interacts)",,"SM_C22:0 ((interacts)) PS_aa_C40:5",,"","","false","(interacts)","SM_C22:0 ((interacts)) PS_aa_C40:5"
"199863","","0.63408791087575","0.65","","(interacts)",,"SM_C22:0 ((interacts)) PS_aa_C34:1",,"","","false","(interacts)","SM_C22:0 ((interacts)) PS_aa_C34:1"
"199864","","0.86923260348181","0.97","","(interacts)",,"PC_aa_C34:2 ((interacts)) PC_aa_C34:1",,"","","false","(interacts)","PC_aa_C34:2 ((interacts)) PC_aa_C34:1"
"199865","","0.6584564596415","0.96","","(interacts)",,"PC_aa_C34:2 ((interacts)) LPC_a_C18:1",,"","","false","(interacts)","PC_aa_C34:2 ((interacts)) LPC_a_C18:1"
