"SUID","FromHit","FromHit2","FromLipid","FromLipidChemicalFormula","FromLipidChemicalFormulaMatch","name","selected","shared name","ToHit","ToHit2","ToLipid","ToLipidChemicalFormula","ToLipidChemicalFormulaMatch"
"184574","true","true","PC aa C40:6","C48H84NO8P","C48H84NO8P","PC_aa_C40:6","false","PC_aa_C40:6","true","true","PC aa C40:6","C48H84NO8P","C48H84NO8P"
"184575","false","false","PG aa C32:1","C38H73O10P","character(0)","PG_aa_C32:1","false","PG_aa_C32:1","false","false","PG aa C32:1","C38H73O10P","character(0)"
"184576","false","false","PS aa C38:2","C44H82NO10P","character(0)","PS_aa_C38:2","false","PS_aa_C38:2","false","false","PS aa C38:2","C44H82NO10P","character(0)"
"184577","true","true","PE aa C38:3","C43H80NO8P","C43H80NO8P","PE_aa_C38:3","false","PE_aa_C38:3","true","true","PE aa C38:3","C43H80NO8P","C43H80NO8P"
"184578","true","true","PC aa C38:4","C46H84NO8P","C46H84NO8P","PC_aa_C38:4","false","PC_aa_C38:4","true","true","PC aa C38:4","C46H84NO8P","C46H84NO8P"
"184579","false","false","PS ae C36:2","C42H80NO9P","character(0)","PS_ae_C36:2","false","PS_ae_C36:2","false","false","PS ae C36:2","C42H80NO9P","character(0)"
"184580","true","true","PS aa C38:3","C44H80NO10P","C44H80NO10P","PS_aa_C38:3","false","PS_aa_C38:3","false","false","PS aa C38:3","C44H80NO10P","character(0)"
"184581","true","true","PE aa C36:4","C41H74NO8P","C41H74NO8P","PE_aa_C36:4","false","PE_aa_C36:4","false","false","PE aa C36:4","C41H74NO8P","character(0)"
"184582","true","true","PE aa C34:3","C39H72NO8P","C39H72NO8P","PE_aa_C34:3","false","PE_aa_C34:3","false","false","PE aa C34:3","C39H72NO8P","character(0)"
"184583","true","true","PS aa C40:6","C46H78NO10P","C46H78NO10P","PS_aa_C40:6","false","PS_aa_C40:6","true","true","PS aa C40:6","C46H78NO10P","C46H78NO10P"
"184584","true","true","PE aa C40:6","C45H78NO8P","C45H78NO8P","PE_aa_C40:6","false","PE_aa_C40:6","true","true","PE aa C40:6","C45H78NO8P","C45H78NO8P"
"184585","true","true","PE aa C38:6","C43H74NO8P","C43H74NO8P","PE_aa_C38:6","false","PE_aa_C38:6","false","false","PE aa C38:6","C43H74NO8P","character(0)"
"184586","true","true","PC aa C38:2","C46H88NO8P","C46H88NO8P","PC_aa_C38:2","false","PC_aa_C38:2","false","false","PC aa C38:2","C46H88NO8P","character(0)"
"184587","true","true","PE aa C36:5","C41H72NO8P","C41H72NO8P","PE_aa_C36:5","false","PE_aa_C36:5","false","false","PE aa C36:5","C41H72NO8P","character(0)"
"184588","true","true","PS aa C34:1","C40H76NO10P","C40H76NO10P","PS_aa_C34:1","false","PS_aa_C34:1","true","true","PS aa C34:1","C40H76NO10P","C40H76NO10P"
"184589","true","true","PE ae C36:5","C41H74NO7P","C41H74NO7P","PE_ae_C36:5","false","PE_ae_C36:5","true","true","PE ae C36:5","C41H74NO7P","C41H74NO7P"
"184590","false","false","PC aa C38:1","C46H90NO8P","character(0)","PC_aa_C38:1","false","PC_aa_C38:1","false","false","PC aa C38:1","C46H90NO8P","character(0)"
"184591","true","true","PE aa C36:2","C41H78NO8P","C41H78NO8P","PE_aa_C36:2","false","PE_aa_C36:2","true","true","PE aa C36:2","C41H78NO8P","C41H78NO8P"
"184592","true","true","PC aa C36:5","C44H78NO8P","C44H78NO8P","PC_aa_C36:5","false","PC_aa_C36:5","true","true","PC aa C36:5","C44H78NO8P","C44H78NO8P"
"184593","true","true","PE ae C36:1","C41H82NO7P","C41H82NO7P","PE_ae_C36:1","false","PE_ae_C36:1","false","false","PE ae C36:1","C41H82NO7P","character(0)"
"184594","true","true","PC aa C36:3","C44H82NO8P","C44H82NO8P","PC_aa_C36:3","false","PC_aa_C36:3","true","true","PC aa C36:3","C44H82NO8P","C44H82NO8P"
"184595","false","false","PE aa C34:0","C39H78NO8P","character(0)","PE_aa_C34:0","false","PE_aa_C34:0","true","true","PE aa C34:0","C39H78NO8P","C39H78NO8P"
"184596","false","false","PC aa C36:0","C44H88NO8P","character(0)","PC_aa_C36:0","false","PC_aa_C36:0","false","false","PC aa C36:0","C44H88NO8P","character(0)"
"184597","false","false","N-C28:0-Cer","C46H91NO3","character(0)","N-C28:0-Cer","false","N-C28:0-Cer","false","false","N-C28:0-Cer","C46H91NO3","character(0)"
"184598","true","true","N-C24:1-Cer","C42H81NO3","C42H81NO3","N-C24:1-Cer","false","N-C24:1-Cer","false","false","N-C24:1-Cer","C42H81NO3","character(0)"
